FID,FRS_FACILI,REGISTRY_I,PRIMARY_NA,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,LATITUDE83,LONGITUDE8,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,POINT_X,POINT_Y
590,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013066591,110013066591.000000000000000,LA MOCHA, , , ,PONCE, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:38:56,19-MAY-2015 00:41:20, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
591,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013052114,110013052114.000000000000000,LA MONTANA, , , ,YAUCO, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:35:49,19-MAY-2015 05:51:39, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
592,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048410297,110048410297.000000000000000,LA PACHANGA-NAVARRO, , , , , ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 13:43:04,20-MAY-2015 00:36:54, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
593,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110047963904,110047963904.000000000000000,LA PICA, , , , , ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 12:59:23,20-MAY-2015 00:36:53, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
594,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013197557,110013197557.000000000000000,LA PICA, , , ,JAYUYA, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,31-OCT-2002 10:25:48,19-MAY-2015 05:51:40, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
595,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048383272,110048383272.000000000000000,LA PRIETA, , , ,COMERIO, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 13:40:52,28-JAN-2015 10:53:37, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
596,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110063343001,110063343001.000000000000000,LA PRIETA, , , ,COMERIO, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,27-JAN-2015 21:02:43,19-MAY-2015 07:31:38, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
597,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048430122,110048430122.000000000000000,LA RAMPLA-SIRIMAR, , , , , ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 13:45:01,19-MAY-2015 13:38:24, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
598,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013054620,110013054620.000000000000000,LA SAPIA, , , ,OROCOVIS, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:36:22,19-MAY-2015 05:51:41, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
599,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013067867,110013067867.000000000000000,LA SIERRITA, , , ,VILLALBA, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:39:12,28-JAN-2015 12:09:46, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
600,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013052613,110013052613.000000000000000,LA TIZA II, , , ,BARRANQUITAS, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:35:56,19-MAY-2015 05:51:42, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
