FID,FRS_FACILI,REGISTRY_I,PRIMARY_NA,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,LATITUDE83,LONGITUDE8,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,Lat,Long,POINT_X,POINT_Y
85,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048664575,110048664575.000000000000000,LARES URBANO - CAMUY RIVER,PR-128 KM 38.3 INT, ,LARES,LARES,72081,PR,PUERTO RICO,UNITED STATES,00669, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:09:58,28-JUN-2016 14:50:43, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
86,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048664156,110048664156.000000000000000,LARES URBANO - GUAJATACA RIVER,PR-128 KM 38.3 INT, ,LARES,LARES,72081,PR,PUERTO RICO,UNITED STATES,00669, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:09:56,28-JUN-2016 14:50:47, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
87,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110049734711,110049734711.000000000000000,LAS MARIAS - MAYAGUEZILLO DAM,PR-124 KM 2.2, ,LAS MARIAS,LAS MARIAS,72083,PR,PUERTO RICO,UNITED STATES,00670, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 16:47:33,28-JUN-2016 12:49:03, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
88,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052088771,110052088771.000000000000000,PAISAJE DEL LAGO - PAISAJE DEL LAGO,PR-3 KM 38.3, ,LUQUILLO,LUQUILLO,72089,PR,PUERTO RICO,UNITED STATES,00773, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-OCT-2012 09:58:25,28-JUN-2016 12:49:10, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
89,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052422179,110052422179.000000000000000,WARNER CHILCOTT PUERTO RICO LLC - PROCTER & PHARMACEUTICALS,CARR 2 KM 45.7,BO. COTO NORTE,MANATI,MANATI,72091,PR,PUERTO RICO,UNITED STATES,00674, , , , ,98,720915705002000.000000000000000,21010002,2,STATIONARY, ,27-OCT-2012 11:27:56,28-JUN-2016 13:49:32, ,SFDW,WATER TREATMENT PLANT,0, , , ,18.432089999999999,-66.471149999999994,FRS-GEOCODE,ADDRESS MATCHING-BLOCK FACE,500,ENTRANCE POINT OF A FACILITY OR STATION,NAD83, ,18.432089999999999,-66.471149999999994,-66.471149999999994,18.432089999999999
90,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050230102,110050230102.000000000000000,LLANADAS - MAIN CHANNEL,PR-426 KM 2.0 INT.,COM. LLANADAS BO.INDIERA BAJA,MARICAO,MARICAO,72093,PR,PUERTO RICO,UNITED STATES,00606, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:45:11,28-JUN-2016 11:49:26, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
91,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110041887697,110041887697.000000000000000,SANAMUERTO-SANAMUERTO R.,PR-567 KM 1.2 INT, ,MOROVIS,MOROVIS, ,PR,PUERTO RICO,US,00720, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-AUG-2010 13:23:08,28-JUN-2016 14:49:05, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
92,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110051042634,110051042634.000000000000000,"RIO BLANCO,VIEQUES,CULEDRA - ENSENADA",PR-31 KM 9.9, ,NAGUABO,NAGUABO,72103,PR,PUERTO RICO,UNITED STATES,00718, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 22:59:12,28-JUN-2016 14:59:18, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
93,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050948105,110050948105.000000000000000,ASOCIACION SECTOR COLI - ASOCIACION SECTOR,PR-155 KM 26.7,SALIDA A COAMO,OROCOVIS,OROCOVIS,72107,PR,PUERTO RICO,UNITED STATES,00720, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 22:07:44,28-JUN-2016 14:50:44, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
94,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052061816,110052061816.000000000000000,COMUNIDAD EL FRIO - EL FRIO,PR-143 KM 30.5,SECTOR EL FRIO,OROCOVIS,OROCOVIS,72107,PR,PUERTO RICO,UNITED STATES,00720, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-OCT-2012 09:48:13,28-JUN-2016 11:49:11, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
